Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,
Natural (undamped) frequency (Hz):, 0.249242,,,,Natural (undamped) frequency (Hz):, 0.255646,,,,Natural (undamped) frequency (Hz):, 0.485913,,,,Natural (undamped) frequency (Hz):, 0.670131,,,,Natural (undamped) frequency (Hz):, 0.672044,,,,Natural (undamped) frequency (Hz):, 0.862404,,,,Natural (undamped) frequency (Hz):, 1.116162,,,,Natural (undamped) frequency (Hz):, 1.142636,,,,Natural (undamped) frequency (Hz):, 1.416840,,,,Natural (undamped) frequency (Hz):, 1.812998,,,,Natural (undamped) frequency (Hz):, 2.045864,,,,Natural (undamped) frequency (Hz):, 2.312155,,,,Natural (undamped) frequency (Hz):, 2.316854,,,,Natural (undamped) frequency (Hz):, 2.598634,,,,Natural (undamped) frequency (Hz):, 3.501436,,,,Natural (undamped) frequency (Hz):, 3.762639,,,,Natural (undamped) frequency (Hz):, 5.366953,,,,Natural (undamped) frequency (Hz):, 5.727397,,,,Natural (undamped) frequency (Hz):, 6.931409,,,,Natural (undamped) frequency (Hz):, 7.611203,,,,Natural (undamped) frequency (Hz):, 13.655271,,,
Damped frequency (Hz):, 0.249242,,,,Damped frequency (Hz):, 0.254776,,,,Damped frequency (Hz):, 0.247879,,,,Damped frequency (Hz):, 0.430529,,,,Damped frequency (Hz):, 0.478219,,,,Damped frequency (Hz):, 0.861675,,,,Damped frequency (Hz):, 1.114805,,,,Damped frequency (Hz):, 1.089535,,,,Damped frequency (Hz):, 1.375241,,,,Damped frequency (Hz):, 1.735969,,,,Damped frequency (Hz):, 2.041087,,,,Damped frequency (Hz):, 2.308902,,,,Damped frequency (Hz):, 2.316515,,,,Damped frequency (Hz):, 2.568164,,,,Damped frequency (Hz):, 3.482656,,,,Damped frequency (Hz):, 3.757228,,,,Damped frequency (Hz):, 5.357245,,,,Damped frequency (Hz):, 5.727157,,,,Damped frequency (Hz):, 6.930419,,,,Damped frequency (Hz):, 7.609625,,,,Damped frequency (Hz):, 13.639004,,,
Damping Ratio (-):, 0.001215,,,,Damping Ratio (-):, 0.082414,,,,Damping Ratio (-):, 0.860097,,,,Damping Ratio (-):, 0.766324,,,,Damping Ratio (-):, 0.702596,,,,Damping Ratio (-):, 0.041097,,,,Damping Ratio (-):, 0.049287,,,,Damping Ratio (-):, 0.301305,,,,Damping Ratio (-):, 0.240538,,,,Damping Ratio (-):, 0.288390,,,,Damping Ratio (-):, 0.068298,,,,Damping Ratio (-):, 0.053026,,,,Damping Ratio (-):, 0.017111,,,,Damping Ratio (-):, 0.152686,,,,Damping Ratio (-):, 0.103433,,,,Damping Ratio (-):, 0.053611,,,,Damping Ratio (-):, 0.060121,,,,Damping Ratio (-):, 0.009169,,,,Damping Ratio (-):, 0.016905,,,,Damping Ratio (-):, 0.020357,,,,Damping Ratio (-):, 0.048797,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),,Mode 15 state description,State has max at mode 15,Mode 15 signed magnitude,Mode 15 phase (deg),,Mode 16 state description,State has max at mode 16,Mode 16 signed magnitude,Mode 16 phase (deg),,Mode 17 state description,State has max at mode 17,Mode 17 signed magnitude,Mode 17 phase (deg),,Mode 18 state description,State has max at mode 18,Mode 18 signed magnitude,Mode 18 phase (deg),,Mode 19 state description,State has max at mode 19,Mode 19 signed magnitude,Mode 19 phase (deg),,Mode 20 state description,State has max at mode 20,Mode 20 signed magnitude,Mode 20 phase (deg),,Mode 21 state description,State has max at mode 21,Mode 21 signed magnitude,Mode 21 phase (deg),
SD Craig-Bampton mode 1 amplitude  -,1,1.000000,0.000000,,ED Platform horizontal surge translation DOF  m,1,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 3 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 4 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 5 amplitude  -,1,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,
SD Craig-Bampton mode 3 amplitude  -,1,0.626858,-0.009960,,SD Craig-Bampton mode 2 amplitude  -,1,0.915197,22.909923,,SD Craig-Bampton mode 3 amplitude  -,0,0.627105,-6.315941,,SD Craig-Bampton mode 1 amplitude  -,0,0.768923,-18.631216,,SD Craig-Bampton mode 3 amplitude  -,0,0.591225,-2.919160,,SD Craig-Bampton mode 3 amplitude  -,0,0.497425,-4.577964,,SD Craig-Bampton mode 3 amplitude  -,0,0.445317,-4.021164,,SD Craig-Bampton mode 3 amplitude  -,0,0.606703,-3.397106,,SD Craig-Bampton mode 1 amplitude  -,0,-0.547402,78.081400,,SD Craig-Bampton mode 3 amplitude  -,0,-0.068607,-66.800107,,SD Craig-Bampton mode 3 amplitude  -,0,-0.565558,5.176595,,SD Craig-Bampton mode 1 amplitude  -,0,-0.042907,-85.666018,,SD Craig-Bampton mode 3 amplitude  -,0,-0.624957,7.093834,,SD Craig-Bampton mode 1 amplitude  -,0,0.946363,30.030970,,SD Craig-Bampton mode 1 amplitude  -,0,-0.079767,-76.357917,,SD Craig-Bampton mode 3 amplitude  -,0,-0.938030,1.473374,,SD Craig-Bampton mode 3 amplitude  -,0,0.822801,-1.266165,,SD Craig-Bampton mode 2 amplitude  -,0,-0.394834,-1.576785,,SD Craig-Bampton mode 3 amplitude  -,0,0.651950,2.428218,,SD Craig-Bampton mode 4 amplitude  -,0,0.944388,2.045534,,SD Craig-Bampton mode 3 amplitude  -,0,-0.736975,0.357782,
ED Platform horizontal sway translation DOF  m,1,-0.188472,-0.033933,,SD Craig-Bampton mode 1 amplitude  -,0,0.354470,-8.756256,,SD Craig-Bampton mode 2 amplitude  -,0,-0.398385,9.624202,,SD Craig-Bampton mode 3 amplitude  -,0,0.448177,-23.001311,,SD Craig-Bampton mode 2 amplitude  -,0,0.405403,84.689153,,SD Craig-Bampton mode 2 amplitude  -,0,-0.292206,79.703762,,SD Craig-Bampton mode 2 amplitude  -,0,-0.283089,-80.088914,,SD Craig-Bampton mode 2 amplitude  -,0,-0.355110,80.961990,,SD Craig-Bampton mode 3 amplitude  -,0,-0.307015,68.977197,,SD Craig-Bampton mode 1 amplitude  -,0,0.043252,-85.010866,,SD Craig-Bampton mode 2 amplitude  -,0,-0.079963,-63.727679,,SD Craig-Bampton mode 3 amplitude  -,0,0.027834,6.053546,,SD Craig-Bampton mode 2 amplitude  -,0,-0.062177,-32.438359,,SD Craig-Bampton mode 2 amplitude  -,0,0.318687,58.318496,,SD Craig-Bampton mode 3 amplitude  -,0,-0.076456,-81.693056,,SD Craig-Bampton mode 5 amplitude  -,0,-0.079290,12.064434,,SD Craig-Bampton mode 5 amplitude  -,0,-0.108487,13.182289,,SD Craig-Bampton mode 1 amplitude  -,0,0.050681,4.044289,,SD Craig-Bampton mode 1 amplitude  -,0,0.154391,38.837003,,SD Craig-Bampton mode 3 amplitude  -,0,-0.054798,-74.301996,,SD Craig-Bampton mode 5 amplitude  -,0,0.474420,-1.181987,
SD Craig-Bampton mode 5 amplitude  -,0,-0.017527,-0.161110,,SD Craig-Bampton mode 4 amplitude  -,1,0.328416,-3.099321,,ED 1st flapwise bending-mode DOF of blade sine  m,1,0.099363,25.728048,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.096294,-51.953000,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.043323,-16.305709,,ED Platform horizontal sway translation DOF  m,0,-0.012700,-6.630721,,SD Craig-Bampton mode 5 amplitude  -,0,0.007979,21.949214,,SD Craig-Bampton mode 4 amplitude  -,0,0.013519,73.274968,,SD Craig-Bampton mode 4 amplitude  -,0,-0.030242,-17.077262,,SD Craig-Bampton mode 4 amplitude  -,0,-0.030396,-29.450179,,SD Craig-Bampton mode 5 amplitude  -,0,0.014818,-8.822382,,SD Craig-Bampton mode 4 amplitude  -,0,0.005190,55.790847,,SD Craig-Bampton mode 5 amplitude  -,0,0.006875,9.324997,,SD Craig-Bampton mode 5 amplitude  -,0,-0.024731,15.386428,,SD Craig-Bampton mode 4 amplitude  -,0,0.055433,14.206895,,SD Craig-Bampton mode 2 amplitude  -,0,-0.006358,11.031234,,SD Craig-Bampton mode 2 amplitude  -,0,-0.029006,-74.427650,,SD Craig-Bampton mode 3 amplitude  -,0,0.041408,4.380703,,SD Craig-Bampton mode 4 amplitude  -,0,-0.013283,-74.028911,,SD Craig-Bampton mode 1 amplitude  -,0,-0.054346,-66.447217,,SD Craig-Bampton mode 4 amplitude  -,0,0.002406,-1.109907,
SD Craig-Bampton mode 4 amplitude  -,0,-0.005368,-4.196279,,SD Craig-Bampton mode 3 amplitude  -,0,0.216435,-12.045303,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.086754,-68.413364,,ED Platform horizontal surge translation DOF  m,0,-0.082093,55.490360,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.036155,54.926032,,ED 1st edgewise bending-mode DOF of blade sine  m,1,-0.010250,-72.253607,,ED Platform horizontal sway translation DOF  m,0,-0.006600,-7.963328,,SD Craig-Bampton mode 5 amplitude  -,0,-0.010375,-2.487762,,SD Craig-Bampton mode 5 amplitude  -,0,0.004662,54.055736,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,0.007657,-45.106564,,ED 1st edgewise bending-mode DOF of blade collective  m,1,0.002194,-34.086425,,SD Craig-Bampton mode 5 amplitude  -,0,-0.000640,28.516071,,ED Platform horizontal sway translation DOF  m,0,0.000473,5.655145,,SD Craig-Bampton mode 4 amplitude  -,0,-0.006550,-73.836244,,SD Craig-Bampton mode 5 amplitude  -,0,0.002999,-66.239381,,SD Craig-Bampton mode 4 amplitude  -,0,-0.001262,23.266926,,SD Craig-Bampton mode 4 amplitude  -,0,-0.010936,84.002876,,SD Craig-Bampton mode 5 amplitude  -,0,-0.007323,3.075256,,SD Craig-Bampton mode 2 amplitude  -,0,-0.012469,-64.675613,,SD Craig-Bampton mode 5 amplitude  -,0,-0.021787,-66.118899,,SD Craig-Bampton mode 2 amplitude  -,0,-0.002126,0.837461,
ED Platform roll tilt rotation DOF  rad,1,0.003071,-0.172723,,ED Platform horizontal sway translation DOF  m,0,-0.062116,-19.826519,,ED Platform horizontal surge translation DOF  m,0,0.061625,1.300731,,SD Craig-Bampton mode 4 amplitude  -,0,-0.072312,15.949511,,ED Platform horizontal sway translation DOF  m,0,0.025345,85.632930,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.009675,15.726737,,SD Craig-Bampton mode 4 amplitude  -,0,0.006503,-83.391014,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.007434,-12.043713,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.003468,-57.685399,,ED Platform horizontal surge translation DOF  m,0,0.005725,-65.925921,,ED Variable speed generator DOF  rad,0,0.001802,-28.903176,,ED Platform horizontal surge translation DOF  m,0,-0.000390,1.024415,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000191,-11.995116,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001353,-0.985792,,ED Platform vertical heave translation DOF  m,0,-0.000601,-7.251715,,ED Variable speed generator DOF  rad,0,-0.001109,-0.592245,,ED Platform horizontal sway translation DOF  m,0,0.001523,0.827328,,ED Platform vertical heave translation DOF  m,0,-0.000879,0.219854,,ED Platform horizontal sway translation DOF  m,0,0.000790,7.987246,,ED Platform vertical heave translation DOF  m,0,0.003594,2.966460,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000558,1.685482,
