Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,
Natural (undamped) frequency (Hz):, 0.249268,,,,Natural (undamped) frequency (Hz):, 0.255798,,,,Natural (undamped) frequency (Hz):, 0.497801,,,,Natural (undamped) frequency (Hz):, 0.701937,,,,Natural (undamped) frequency (Hz):, 0.740069,,,,Natural (undamped) frequency (Hz):, 0.802274,,,,Natural (undamped) frequency (Hz):, 1.124282,,,,Natural (undamped) frequency (Hz):, 1.142724,,,,Natural (undamped) frequency (Hz):, 1.484253,,,,Natural (undamped) frequency (Hz):, 1.813947,,,,Natural (undamped) frequency (Hz):, 2.043191,,,,Natural (undamped) frequency (Hz):, 2.304695,,,,Natural (undamped) frequency (Hz):, 2.313753,,,,Natural (undamped) frequency (Hz):, 2.575614,,,,Natural (undamped) frequency (Hz):, 3.491129,,,,Natural (undamped) frequency (Hz):, 3.766301,,,,Natural (undamped) frequency (Hz):, 5.325798,,,,Natural (undamped) frequency (Hz):, 5.725648,,,,Natural (undamped) frequency (Hz):, 6.927638,,,,Natural (undamped) frequency (Hz):, 7.569613,,,,Natural (undamped) frequency (Hz):, 13.657689,,,
Damped frequency (Hz):, 0.249267,,,,Damped frequency (Hz):, 0.254545,,,,Damped frequency (Hz):, 0.157283,,,,Damped frequency (Hz):, 0.389487,,,,Damped frequency (Hz):, 0.470191,,,,Damped frequency (Hz):, 0.801417,,,,Damped frequency (Hz):, 1.046119,,,,Damped frequency (Hz):, 1.141515,,,,Damped frequency (Hz):, 1.429921,,,,Damped frequency (Hz):, 1.721807,,,,Damped frequency (Hz):, 2.037522,,,,Damped frequency (Hz):, 2.301026,,,,Damped frequency (Hz):, 2.313390,,,,Damped frequency (Hz):, 2.541164,,,,Damped frequency (Hz):, 3.471205,,,,Damped frequency (Hz):, 3.763247,,,,Damped frequency (Hz):, 5.315962,,,,Damped frequency (Hz):, 5.725406,,,,Damped frequency (Hz):, 6.926690,,,,Damped frequency (Hz):, 7.568044,,,,Damped frequency (Hz):, 13.641379,,,
Damping Ratio (-):, 0.002255,,,,Damping Ratio (-):, 0.098837,,,,Damping Ratio (-):, 0.948774,,,,Damping Ratio (-):, 0.831934,,,,Damping Ratio (-):, 0.772237,,,,Damping Ratio (-):, 0.046220,,,,Damping Ratio (-):, 0.366349,,,,Damping Ratio (-):, 0.045995,,,,Damping Ratio (-):, 0.268087,,,,Damping Ratio (-):, 0.314659,,,,Damping Ratio (-):, 0.074444,,,,Damping Ratio (-):, 0.056404,,,,Damping Ratio (-):, 0.017703,,,,Damping Ratio (-):, 0.163009,,,,Damping Ratio (-):, 0.106684,,,,Damping Ratio (-):, 0.040265,,,,Damping Ratio (-):, 0.060748,,,,Damping Ratio (-):, 0.009196,,,,Damping Ratio (-):, 0.016543,,,,Damping Ratio (-):, 0.020359,,,,Damping Ratio (-):, 0.048857,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),,Mode 15 state description,State has max at mode 15,Mode 15 signed magnitude,Mode 15 phase (deg),,Mode 16 state description,State has max at mode 16,Mode 16 signed magnitude,Mode 16 phase (deg),,Mode 17 state description,State has max at mode 17,Mode 17 signed magnitude,Mode 17 phase (deg),,Mode 18 state description,State has max at mode 18,Mode 18 signed magnitude,Mode 18 phase (deg),,Mode 19 state description,State has max at mode 19,Mode 19 signed magnitude,Mode 19 phase (deg),,Mode 20 state description,State has max at mode 20,Mode 20 signed magnitude,Mode 20 phase (deg),,Mode 21 state description,State has max at mode 21,Mode 21 signed magnitude,Mode 21 phase (deg),
SD Craig-Bampton mode 1 amplitude  -,1,1.000000,0.000000,,ED Platform horizontal surge translation DOF  m,1,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 3 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 4 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 5 amplitude  -,1,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,
SD Craig-Bampton mode 3 amplitude  -,1,0.627015,-0.009889,,SD Craig-Bampton mode 2 amplitude  -,1,0.933789,27.054215,,SD Craig-Bampton mode 3 amplitude  -,0,0.603871,-4.864389,,SD Craig-Bampton mode 1 amplitude  -,0,0.196451,86.965950,,SD Craig-Bampton mode 3 amplitude  -,0,0.582921,-3.413844,,SD Craig-Bampton mode 3 amplitude  -,0,0.498977,-7.980979,,SD Craig-Bampton mode 3 amplitude  -,0,0.614226,-2.180166,,SD Craig-Bampton mode 3 amplitude  -,0,0.453017,-0.047438,,SD Craig-Bampton mode 1 amplitude  -,0,-0.786057,80.806089,,SD Craig-Bampton mode 3 amplitude  -,0,-0.136839,-30.125587,,SD Craig-Bampton mode 3 amplitude  -,0,-0.565865,5.288300,,SD Craig-Bampton mode 1 amplitude  -,0,0.039167,45.619009,,SD Craig-Bampton mode 3 amplitude  -,0,-0.630823,7.218365,,SD Craig-Bampton mode 1 amplitude  -,0,0.998149,31.253265,,SD Craig-Bampton mode 1 amplitude  -,0,-0.116738,-77.193961,,SD Craig-Bampton mode 3 amplitude  -,0,-0.938833,1.539610,,SD Craig-Bampton mode 3 amplitude  -,0,0.825039,-1.247606,,SD Craig-Bampton mode 2 amplitude  -,0,-0.406732,-1.529378,,SD Craig-Bampton mode 3 amplitude  -,0,0.637901,2.271035,,SD Craig-Bampton mode 4 amplitude  -,0,0.937064,2.078750,,SD Craig-Bampton mode 3 amplitude  -,0,-0.739012,0.356728,
ED Platform horizontal sway translation DOF  m,1,-0.188454,-0.154780,,SD Craig-Bampton mode 1 amplitude  -,0,0.516161,-4.826708,,SD Craig-Bampton mode 2 amplitude  -,0,-0.246888,35.865801,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.108282,-37.535456,,SD Craig-Bampton mode 2 amplitude  -,0,0.379551,65.970283,,SD Craig-Bampton mode 2 amplitude  -,0,-0.334448,58.769201,,SD Craig-Bampton mode 2 amplitude  -,0,-0.479535,86.251124,,SD Craig-Bampton mode 2 amplitude  -,0,-0.319540,-56.330186,,SD Craig-Bampton mode 3 amplitude  -,0,-0.431123,69.351240,,SD Craig-Bampton mode 1 amplitude  -,0,0.116644,-33.422766,,SD Craig-Bampton mode 2 amplitude  -,0,0.190118,63.967149,,SD Craig-Bampton mode 3 amplitude  -,0,0.015321,27.772467,,SD Craig-Bampton mode 2 amplitude  -,0,-0.096806,-37.968678,,SD Craig-Bampton mode 2 amplitude  -,0,0.434417,56.476874,,SD Craig-Bampton mode 3 amplitude  -,0,-0.116035,-88.124578,,SD Craig-Bampton mode 5 amplitude  -,0,-0.079540,8.588440,,SD Craig-Bampton mode 5 amplitude  -,0,-0.105172,13.001569,,SD Craig-Bampton mode 1 amplitude  -,0,0.072602,7.132785,,SD Craig-Bampton mode 1 amplitude  -,0,0.138208,41.227507,,SD Craig-Bampton mode 1 amplitude  -,0,-0.082681,-53.296760,,SD Craig-Bampton mode 5 amplitude  -,0,0.475241,-1.183704,
SD Craig-Bampton mode 5 amplitude  -,0,-0.017552,-0.230054,,SD Craig-Bampton mode 4 amplitude  -,1,0.328506,-3.667994,,ED 1st flapwise bending-mode DOF of blade sine  m,1,0.103318,5.280467,,SD Craig-Bampton mode 3 amplitude  -,0,0.103180,86.415790,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.042045,-35.220116,,ED Platform horizontal sway translation DOF  m,0,-0.014945,-8.495614,,SD Craig-Bampton mode 4 amplitude  -,0,0.018922,77.685610,,SD Craig-Bampton mode 4 amplitude  -,0,0.008202,-47.805757,,SD Craig-Bampton mode 4 amplitude  -,0,-0.029514,-22.315570,,SD Craig-Bampton mode 4 amplitude  -,0,-0.031543,-30.363779,,SD Craig-Bampton mode 5 amplitude  -,0,0.015050,-10.015465,,SD Craig-Bampton mode 4 amplitude  -,0,0.005273,60.238493,,SD Craig-Bampton mode 5 amplitude  -,0,0.007132,8.938657,,SD Craig-Bampton mode 5 amplitude  -,0,-0.024575,16.820699,,SD Craig-Bampton mode 4 amplitude  -,0,0.055092,14.890658,,SD Craig-Bampton mode 2 amplitude  -,0,-0.017095,18.752028,,SD Craig-Bampton mode 2 amplitude  -,0,-0.041844,-71.032518,,SD Craig-Bampton mode 3 amplitude  -,0,0.054943,8.507496,,SD Craig-Bampton mode 4 amplitude  -,0,-0.019150,-74.796079,,SD Craig-Bampton mode 3 amplitude  -,0,-0.078757,-66.533249,,SD Craig-Bampton mode 4 amplitude  -,0,0.002521,-1.140890,
ED Platform horizontal surge translation DOF  m,0,-0.007029,-13.788480,,SD Craig-Bampton mode 3 amplitude  -,0,0.316212,-8.653807,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.080994,-68.669304,,ED Platform horizontal surge translation DOF  m,0,-0.069982,56.738922,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.035078,42.302258,,ED 1st edgewise bending-mode DOF of blade sine  m,1,-0.013589,-62.613117,,SD Craig-Bampton mode 5 amplitude  -,0,-0.010862,7.686477,,ED Platform horizontal sway translation DOF  m,0,-0.006260,-6.058375,,SD Craig-Bampton mode 5 amplitude  -,0,0.005690,49.115917,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,0.007482,-46.589874,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.002218,-46.018528,,SD Craig-Bampton mode 5 amplitude  -,0,-0.000714,37.076336,,ED Platform horizontal sway translation DOF  m,0,0.000478,5.762295,,SD Craig-Bampton mode 4 amplitude  -,0,-0.009376,-74.040156,,SD Craig-Bampton mode 5 amplitude  -,0,0.004106,-61.739212,,SD Craig-Bampton mode 4 amplitude  -,0,-0.002475,25.022625,,SD Craig-Bampton mode 4 amplitude  -,0,-0.016198,82.137726,,SD Craig-Bampton mode 5 amplitude  -,0,-0.011369,4.867924,,SD Craig-Bampton mode 2 amplitude  -,0,-0.018448,-57.852972,,SD Craig-Bampton mode 5 amplitude  -,0,-0.044169,-46.055064,,SD Craig-Bampton mode 2 amplitude  -,0,-0.002365,-0.133353,
SD Craig-Bampton mode 4 amplitude  -,0,-0.006880,-4.629217,,ED Platform horizontal sway translation DOF  m,0,-0.090729,-17.961799,,ED Platform horizontal sway translation DOF  m,0,0.047977,33.624085,,SD Craig-Bampton mode 4 amplitude  -,0,-0.069342,15.181126,,SD Craig-Bampton mode 4 amplitude  -,0,-0.023160,55.983916,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.012902,25.942016,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.008106,-8.820586,,SD Craig-Bampton mode 5 amplitude  -,0,0.005751,-5.701471,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.003458,-69.255639,,SD Craig-Bampton mode 5 amplitude  -,0,0.005850,-55.347853,,SD Craig-Bampton mode 4 amplitude  -,0,-0.002210,43.223582,,ED Platform horizontal surge translation DOF  m,0,-0.000388,1.245680,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000283,-22.272738,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001370,0.952255,,ED Platform vertical heave translation DOF  m,0,-0.000604,-7.080604,,ED Variable speed generator DOF  rad,0,-0.001103,-2.083963,,ED Platform horizontal sway translation DOF  m,0,0.001517,0.894792,,ED Platform vertical heave translation DOF  m,0,-0.000890,0.184375,,ED Platform horizontal sway translation DOF  m,0,0.000760,7.736307,,ED Platform vertical heave translation DOF  m,0,0.003515,3.027400,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000559,1.642970,
SD Craig-Bampton mode 2 amplitude  -,0,-0.004388,-22.364497,,ED Platform pitch tilt rotation DOF  rad,1,0.016581,-7.340755,,ED Platform horizontal surge translation DOF  m,0,0.047768,-14.509557,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.018894,-74.868750,,ED Platform horizontal sway translation DOF  m,0,0.021142,72.891006,,SD Craig-Bampton mode 4 amplitude  -,0,0.011751,50.422893,,ED Platform horizontal sway translation DOF  m,0,-0.007940,-52.408163,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.005147,87.973013,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.002872,-16.572780,,ED Platform horizontal surge translation DOF  m,0,0.005609,-69.217210,,ED Variable speed generator DOF  rad,0,0.001850,-36.182273,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000270,-5.108548,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000153,29.740285,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.001082,-19.894722,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000541,4.195458,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000994,-2.908679,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000270,5.395918,,ED Platform horizontal sway translation DOF  m,0,0.000110,7.346227,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000265,-0.009062,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000461,7.445649,,ED Platform roll tilt rotation DOF  rad,0,0.000514,0.168391,
ED Platform roll tilt rotation DOF  rad,1,0.003065,-0.468853,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,-0.015569,67.582812,,SD Craig-Bampton mode 4 amplitude  -,0,0.029965,2.549644,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.010332,-46.774072,,ED Platform horizontal surge translation DOF  m,0,-0.012894,61.444042,,SD Craig-Bampton mode 5 amplitude  -,0,0.010579,57.057542,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,0.005366,-59.483156,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.005049,-5.972752,,ED Platform horizontal sway translation DOF  m,0,0.002857,30.883963,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.002240,53.704604,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000812,-45.332175,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000233,-38.872940,,ED Platform roll tilt rotation DOF  rad,0,-0.000149,-0.036989,,ED Platform horizontal sway translation DOF  m,0,-0.000825,-77.781115,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000532,16.408626,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000319,3.422291,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000227,12.226304,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000064,8.361241,,ED Platform roll tilt rotation DOF  rad,0,-0.000166,-5.412007,,ED Platform horizontal surge translation DOF  m,0,0.000405,2.550269,,ED Platform horizontal sway translation DOF  m,0,0.000058,-6.286056,
