Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,
Natural (undamped) frequency (Hz):, 0.249454,,,,Natural (undamped) frequency (Hz):, 0.253683,,,,Natural (undamped) frequency (Hz):, 0.489153,,,,Natural (undamped) frequency (Hz):, 0.674065,,,,Natural (undamped) frequency (Hz):, 0.715167,,,,Natural (undamped) frequency (Hz):, 0.768213,,,,Natural (undamped) frequency (Hz):, 1.091860,,,,Natural (undamped) frequency (Hz):, 1.182013,,,,Natural (undamped) frequency (Hz):, 1.531702,,,,Natural (undamped) frequency (Hz):, 1.796023,,,,Natural (undamped) frequency (Hz):, 2.052252,,,,Natural (undamped) frequency (Hz):, 2.296092,,,,Natural (undamped) frequency (Hz):, 2.308680,,,,Natural (undamped) frequency (Hz):, 2.540878,,,,Natural (undamped) frequency (Hz):, 3.445766,,,,Natural (undamped) frequency (Hz):, 3.775667,,,,Natural (undamped) frequency (Hz):, 5.284908,,,,Natural (undamped) frequency (Hz):, 5.726524,,,,Natural (undamped) frequency (Hz):, 6.927163,,,,Natural (undamped) frequency (Hz):, 7.545109,,,,Natural (undamped) frequency (Hz):, 13.656616,,,
Damped frequency (Hz):, 0.249450,,,,Damped frequency (Hz):, 0.252237,,,,Damped frequency (Hz):, 0.118274,,,,Damped frequency (Hz):, 0.355085,,,,Damped frequency (Hz):, 0.414330,,,,Damped frequency (Hz):, 0.767015,,,,Damped frequency (Hz):, 1.090654,,,,Damped frequency (Hz):, 1.109971,,,,Damped frequency (Hz):, 1.476348,,,,Damped frequency (Hz):, 1.729581,,,,Damped frequency (Hz):, 2.038187,,,,Damped frequency (Hz):, 2.292533,,,,Damped frequency (Hz):, 2.308239,,,,Damped frequency (Hz):, 2.510127,,,,Damped frequency (Hz):, 3.428827,,,,Damped frequency (Hz):, 3.772273,,,,Damped frequency (Hz):, 5.276515,,,,Damped frequency (Hz):, 5.726281,,,,Damped frequency (Hz):, 6.926240,,,,Damped frequency (Hz):, 7.543796,,,,Damped frequency (Hz):, 13.640283,,,
Damping Ratio (-):, 0.005692,,,,Damping Ratio (-):, 0.106615,,,,Damping Ratio (-):, 0.970328,,,,Damping Ratio (-):, 0.850001,,,,Damping Ratio (-):, 0.815080,,,,Damping Ratio (-):, 0.055833,,,,Damping Ratio (-):, 0.047001,,,,Damping Ratio (-):, 0.343775,,,,Damping Ratio (-):, 0.266403,,,,Damping Ratio (-):, 0.269479,,,,Damping Ratio (-):, 0.116873,,,,Damping Ratio (-):, 0.055655,,,,Damping Ratio (-):, 0.019537,,,,Damping Ratio (-):, 0.155109,,,,Damping Ratio (-):, 0.099034,,,,Damping Ratio (-):, 0.042396,,,,Damping Ratio (-):, 0.056336,,,,Damping Ratio (-):, 0.009219,,,,Damping Ratio (-):, 0.016319,,,,Damping Ratio (-):, 0.018649,,,,Damping Ratio (-):, 0.048894,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),,Mode 15 state description,State has max at mode 15,Mode 15 signed magnitude,Mode 15 phase (deg),,Mode 16 state description,State has max at mode 16,Mode 16 signed magnitude,Mode 16 phase (deg),,Mode 17 state description,State has max at mode 17,Mode 17 signed magnitude,Mode 17 phase (deg),,Mode 18 state description,State has max at mode 18,Mode 18 signed magnitude,Mode 18 phase (deg),,Mode 19 state description,State has max at mode 19,Mode 19 signed magnitude,Mode 19 phase (deg),,Mode 20 state description,State has max at mode 20,Mode 20 signed magnitude,Mode 20 phase (deg),,Mode 21 state description,State has max at mode 21,Mode 21 signed magnitude,Mode 21 phase (deg),
SD Craig-Bampton mode 1 amplitude  -,1,1.000000,0.000000,,ED Platform horizontal surge translation DOF  m,1,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 4 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 5 amplitude  -,1,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,
SD Craig-Bampton mode 3 amplitude  -,1,0.626969,-0.101721,,SD Craig-Bampton mode 2 amplitude  -,1,0.910858,29.514822,,SD Craig-Bampton mode 3 amplitude  -,0,0.642888,-6.813618,,SD Craig-Bampton mode 1 amplitude  -,0,0.461339,67.434862,,SD Craig-Bampton mode 3 amplitude  -,0,0.583411,-2.513736,,SD Craig-Bampton mode 3 amplitude  -,0,0.548529,-10.883398,,SD Craig-Bampton mode 3 amplitude  -,0,0.482735,2.746052,,SD Craig-Bampton mode 3 amplitude  -,0,0.624487,-1.835552,,SD Craig-Bampton mode 1 amplitude  -,0,-0.856813,83.752201,,SD Craig-Bampton mode 1 amplitude  -,0,0.270672,-54.113759,,SD Craig-Bampton mode 3 amplitude  -,0,-0.567543,5.721495,,SD Craig-Bampton mode 1 amplitude  -,0,0.065037,13.534600,,SD Craig-Bampton mode 3 amplitude  -,0,-0.628942,7.762446,,SD Craig-Bampton mode 3 amplitude  -,0,0.999366,-35.073981,,SD Craig-Bampton mode 1 amplitude  -,0,-0.117086,-84.713340,,SD Craig-Bampton mode 3 amplitude  -,0,-0.931356,1.654368,,SD Craig-Bampton mode 3 amplitude  -,0,0.828665,-1.094975,,SD Craig-Bampton mode 2 amplitude  -,0,-0.405848,-1.323230,,SD Craig-Bampton mode 3 amplitude  -,0,0.630037,1.719131,,SD Craig-Bampton mode 4 amplitude  -,0,0.934779,2.000303,,SD Craig-Bampton mode 3 amplitude  -,0,-0.737197,0.346296,
ED Platform horizontal sway translation DOF  m,1,-0.188163,-0.594346,,SD Craig-Bampton mode 1 amplitude  -,0,0.759726,-6.667124,,SD Craig-Bampton mode 2 amplitude  -,0,-0.265296,19.167030,,SD Craig-Bampton mode 3 amplitude  -,0,0.253537,66.673355,,SD Craig-Bampton mode 2 amplitude  -,0,0.402272,59.692490,,SD Craig-Bampton mode 2 amplitude  -,0,-0.514336,60.685369,,SD Craig-Bampton mode 2 amplitude  -,0,-0.399860,-47.285418,,SD Craig-Bampton mode 2 amplitude  -,0,-0.584816,79.586498,,SD Craig-Bampton mode 3 amplitude  -,0,-0.462400,69.891940,,SD Craig-Bampton mode 3 amplitude  -,0,-0.232726,-34.338985,,SD Craig-Bampton mode 2 amplitude  -,0,0.444543,38.703238,,SD Craig-Bampton mode 3 amplitude  -,0,-0.010505,-29.587325,,SD Craig-Bampton mode 2 amplitude  -,0,-0.139580,-39.798879,,SD Craig-Bampton mode 2 amplitude  -,0,0.466216,24.399145,,SD Craig-Bampton mode 3 amplitude  -,0,0.115547,84.746262,,SD Craig-Bampton mode 5 amplitude  -,0,-0.080258,9.143764,,SD Craig-Bampton mode 5 amplitude  -,0,-0.101960,11.650077,,SD Craig-Bampton mode 1 amplitude  -,0,0.083741,10.354539,,SD Craig-Bampton mode 1 amplitude  -,0,0.128247,40.810811,,SD Craig-Bampton mode 1 amplitude  -,0,-0.081851,-49.641609,,SD Craig-Bampton mode 5 amplitude  -,0,0.474470,-1.189641,
SD Craig-Bampton mode 5 amplitude  -,0,-0.017540,-0.925516,,SD Craig-Bampton mode 3 amplitude  -,0,0.468597,-10.605448,,ED 1st flapwise bending-mode DOF of blade sine  m,1,0.140434,-5.279344,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.116702,-37.533293,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.049140,-34.086763,,SD Craig-Bampton mode 4 amplitude  -,0,0.019033,55.567575,,SD Craig-Bampton mode 4 amplitude  -,0,0.012124,-40.624463,,SD Craig-Bampton mode 4 amplitude  -,0,0.021986,71.513490,,SD Craig-Bampton mode 4 amplitude  -,0,-0.028502,-25.142642,,SD Craig-Bampton mode 4 amplitude  -,0,-0.028651,-28.195628,,SD Craig-Bampton mode 5 amplitude  -,0,0.016002,-19.128281,,SD Craig-Bampton mode 4 amplitude  -,0,0.005057,63.131659,,SD Craig-Bampton mode 5 amplitude  -,0,0.007272,8.626453,,SD Craig-Bampton mode 5 amplitude  -,0,-0.024092,-18.071464,,SD Craig-Bampton mode 4 amplitude  -,0,0.053055,14.436458,,SD Craig-Bampton mode 2 amplitude  -,0,-0.028588,23.072464,,SD Craig-Bampton mode 2 amplitude  -,0,-0.041171,-69.192777,,SD Craig-Bampton mode 3 amplitude  -,0,0.063948,11.623263,,SD Craig-Bampton mode 4 amplitude  -,0,-0.019486,-74.971405,,SD Craig-Bampton mode 3 amplitude  -,0,-0.076840,-63.583676,,SD Craig-Bampton mode 2 amplitude  -,0,-0.003024,-0.816809,
ED Platform horizontal surge translation DOF  m,0,-0.014563,-20.654718,,SD Craig-Bampton mode 4 amplitude  -,1,0.329503,-3.778291,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.105345,-79.079155,,ED Platform horizontal surge translation DOF  m,0,-0.086049,51.536537,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.040901,45.644940,,ED Platform horizontal sway translation DOF  m,0,-0.017044,-10.976509,,ED Platform horizontal sway translation DOF  m,0,-0.007189,-5.010255,,SD Craig-Bampton mode 5 amplitude  -,0,-0.012930,9.087636,,SD Craig-Bampton mode 5 amplitude  -,0,0.005893,39.851114,,SD Craig-Bampton mode 5 amplitude  -,0,0.009713,-63.114316,,SD Craig-Bampton mode 4 amplitude  -,0,-0.006155,1.032698,,SD Craig-Bampton mode 5 amplitude  -,0,-0.000617,50.503207,,ED Platform horizontal sway translation DOF  m,0,0.000478,6.228081,,SD Craig-Bampton mode 4 amplitude  -,0,0.009712,71.867411,,SD Craig-Bampton mode 5 amplitude  -,0,0.003904,-66.400932,,SD Craig-Bampton mode 4 amplitude  -,0,-0.003823,28.046289,,SD Craig-Bampton mode 4 amplitude  -,0,-0.021250,68.500315,,SD Craig-Bampton mode 5 amplitude  -,0,-0.012823,8.249761,,SD Craig-Bampton mode 2 amplitude  -,0,-0.019295,-49.876118,,SD Craig-Bampton mode 5 amplitude  -,0,-0.043603,-47.566504,,SD Craig-Bampton mode 4 amplitude  -,0,0.002683,-1.323652,
SD Craig-Bampton mode 2 amplitude  -,0,-0.010275,-26.506142,,ED Platform horizontal sway translation DOF  m,0,-0.136511,-20.733089,,ED Platform horizontal surge translation DOF  m,0,0.066562,-34.051922,,SD Craig-Bampton mode 4 amplitude  -,0,-0.076749,16.469845,,SD Craig-Bampton mode 4 amplitude  -,0,-0.026887,49.123840,,ED 1st edgewise bending-mode DOF of blade sine  m,1,-0.014432,-44.535080,,SD Craig-Bampton mode 5 amplitude  -,0,0.004607,-46.324059,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.007344,-5.775496,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.003497,-73.721178,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,0.006538,-44.282334,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.002387,-73.359658,,ED Platform horizontal surge translation DOF  m,0,-0.000385,1.632552,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000389,-23.040830,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001364,-29.913680,,ED Platform vertical heave translation DOF  m,0,-0.000608,-5.260167,,ED Variable speed generator DOF  rad,0,-0.001097,-2.191144,,ED Platform horizontal sway translation DOF  m,0,0.001512,0.841981,,ED Platform vertical heave translation DOF  m,0,-0.000887,0.203746,,ED Platform horizontal sway translation DOF  m,0,0.000745,6.898643,,ED Platform vertical heave translation DOF  m,0,0.003474,2.698221,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000559,1.646449,
