Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,,Mode Number:,22,,,
Natural (undamped) frequency (Hz):, 0.020803,,,,Natural (undamped) frequency (Hz):, 0.251575,,,,Natural (undamped) frequency (Hz):, 0.255605,,,,Natural (undamped) frequency (Hz):, 0.465436,,,,Natural (undamped) frequency (Hz):, 0.671507,,,,Natural (undamped) frequency (Hz):, 0.675861,,,,Natural (undamped) frequency (Hz):, 0.858665,,,,Natural (undamped) frequency (Hz):, 1.105021,,,,Natural (undamped) frequency (Hz):, 1.164934,,,,Natural (undamped) frequency (Hz):, 1.441406,,,,Natural (undamped) frequency (Hz):, 1.826709,,,,Natural (undamped) frequency (Hz):, 2.042208,,,,Natural (undamped) frequency (Hz):, 2.314865,,,,Natural (undamped) frequency (Hz):, 2.317021,,,,Natural (undamped) frequency (Hz):, 2.600244,,,,Natural (undamped) frequency (Hz):, 3.495966,,,,Natural (undamped) frequency (Hz):, 3.762846,,,,Natural (undamped) frequency (Hz):, 5.383359,,,,Natural (undamped) frequency (Hz):, 5.729694,,,,Natural (undamped) frequency (Hz):, 6.935032,,,,Natural (undamped) frequency (Hz):, 7.638221,,,,Natural (undamped) frequency (Hz):, 13.652858,,,
Damped frequency (Hz):, 0.020649,,,,Damped frequency (Hz):, 0.251575,,,,Damped frequency (Hz):, 0.255038,,,,Damped frequency (Hz):, 0.334058,,,,Damped frequency (Hz):, 0.518551,,,,Damped frequency (Hz):, 0.566262,,,,Damped frequency (Hz):, 0.857854,,,,Damped frequency (Hz):, 1.103844,,,,Damped frequency (Hz):, 1.120883,,,,Damped frequency (Hz):, 1.407498,,,,Damped frequency (Hz):, 1.761476,,,,Damped frequency (Hz):, 2.037423,,,,Damped frequency (Hz):, 2.311917,,,,Damped frequency (Hz):, 2.316689,,,,Damped frequency (Hz):, 2.573621,,,,Damped frequency (Hz):, 3.479310,,,,Damped frequency (Hz):, 3.757426,,,,Damped frequency (Hz):, 5.374284,,,,Damped frequency (Hz):, 5.729452,,,,Damped frequency (Hz):, 6.934040,,,,Damped frequency (Hz):, 7.636752,,,,Damped frequency (Hz):, 13.636566,,,
Damping Ratio (-):, 0.121081,,,,Damping Ratio (-):, 0.000581,,,,Damping Ratio (-):, 0.066577,,,,Damping Ratio (-):, 0.696319,,,,Damping Ratio (-):, 0.635356,,,,Damping Ratio (-):, 0.545919,,,,Damping Ratio (-):, 0.043460,,,,Damping Ratio (-):, 0.046156,,,,Damping Ratio (-):, 0.272395,,,,Damping Ratio (-):, 0.215629,,,,Damping Ratio (-):, 0.264852,,,,Damping Ratio (-):, 0.068417,,,,Damping Ratio (-):, 0.050454,,,,Damping Ratio (-):, 0.016920,,,,Damping Ratio (-):, 0.142732,,,,Damping Ratio (-):, 0.097498,,,,Damping Ratio (-):, 0.053653,,,,Damping Ratio (-):, 0.058040,,,,Damping Ratio (-):, 0.009196,,,,Damping Ratio (-):, 0.016918,,,,Damping Ratio (-):, 0.019609,,,,Damping Ratio (-):, 0.048837,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),,Mode 15 state description,State has max at mode 15,Mode 15 signed magnitude,Mode 15 phase (deg),,Mode 16 state description,State has max at mode 16,Mode 16 signed magnitude,Mode 16 phase (deg),,Mode 17 state description,State has max at mode 17,Mode 17 signed magnitude,Mode 17 phase (deg),,Mode 18 state description,State has max at mode 18,Mode 18 signed magnitude,Mode 18 phase (deg),,Mode 19 state description,State has max at mode 19,Mode 19 signed magnitude,Mode 19 phase (deg),,Mode 20 state description,State has max at mode 20,Mode 20 signed magnitude,Mode 20 phase (deg),,Mode 21 state description,State has max at mode 21,Mode 21 signed magnitude,Mode 21 phase (deg),,Mode 22 state description,State has max at mode 22,Mode 22 signed magnitude,Mode 22 phase (deg),
ED Variable speed generator DOF  rad,1,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,1,1.000000,0.000000,,ED Platform horizontal surge translation DOF  m,1,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 3 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 4 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 5 amplitude  -,1,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,
ED 1st flapwise bending-mode DOF of blade sine  m,1,0.059534,-3.678537,,SD Craig-Bampton mode 3 amplitude  -,1,0.621387,0.001509,,SD Craig-Bampton mode 2 amplitude  -,1,0.906796,18.681784,,SD Craig-Bampton mode 2 amplitude  -,0,-0.696961,59.529774,,SD Craig-Bampton mode 1 amplitude  -,0,0.186898,-69.373042,,SD Craig-Bampton mode 2 amplitude  -,0,0.648071,85.012469,,SD Craig-Bampton mode 3 amplitude  -,0,0.512531,-6.105454,,SD Craig-Bampton mode 3 amplitude  -,0,0.458127,-4.671127,,SD Craig-Bampton mode 3 amplitude  -,0,0.613252,-3.600776,,SD Craig-Bampton mode 1 amplitude  -,0,-0.488232,82.457027,,SD Craig-Bampton mode 3 amplitude  -,0,-0.069727,-47.109573,,SD Craig-Bampton mode 3 amplitude  -,0,-0.560234,5.129941,,SD Craig-Bampton mode 1 amplitude  -,0,-0.049123,-86.201612,,SD Craig-Bampton mode 3 amplitude  -,0,-0.621620,7.187444,,SD Craig-Bampton mode 1 amplitude  -,0,0.921405,29.483195,,SD Craig-Bampton mode 1 amplitude  -,0,-0.079872,-81.413785,,SD Craig-Bampton mode 3 amplitude  -,0,-0.935794,1.413125,,SD Craig-Bampton mode 3 amplitude  -,0,0.821460,-1.200086,,SD Craig-Bampton mode 2 amplitude  -,0,-0.383003,-1.625025,,SD Craig-Bampton mode 3 amplitude  -,0,0.660747,2.438607,,SD Craig-Bampton mode 4 amplitude  -,0,0.952708,2.072328,,SD Craig-Bampton mode 3 amplitude  -,0,-0.734886,0.355855,
SD Craig-Bampton mode 2 amplitude  -,0,0.039240,-9.754386,,ED Platform horizontal sway translation DOF  m,1,-0.184176,0.045877,,SD Craig-Bampton mode 4 amplitude  -,1,0.328421,-2.629785,,SD Craig-Bampton mode 3 amplitude  -,0,0.667403,2.290350,,SD Craig-Bampton mode 3 amplitude  -,0,0.118669,-74.599076,,SD Craig-Bampton mode 3 amplitude  -,0,0.614150,-2.318523,,SD Craig-Bampton mode 2 amplitude  -,0,-0.373428,78.743653,,SD Craig-Bampton mode 2 amplitude  -,0,-0.302494,-80.062102,,SD Craig-Bampton mode 2 amplitude  -,0,-0.384952,80.391918,,SD Craig-Bampton mode 3 amplitude  -,0,-0.283074,72.453364,,SD Craig-Bampton mode 1 amplitude  -,0,0.068248,-54.231728,,SD Craig-Bampton mode 2 amplitude  -,0,-0.106679,-81.849271,,SD Craig-Bampton mode 3 amplitude  -,0,0.027621,3.983794,,SD Craig-Bampton mode 2 amplitude  -,0,-0.082205,-28.783103,,SD Craig-Bampton mode 2 amplitude  -,0,0.331425,60.116407,,SD Craig-Bampton mode 3 amplitude  -,0,-0.072341,-82.214163,,SD Craig-Bampton mode 5 amplitude  -,0,-0.079205,12.056932,,SD Craig-Bampton mode 5 amplitude  -,0,-0.109829,12.765140,,SD Craig-Bampton mode 1 amplitude  -,0,0.055248,6.165512,,SD Craig-Bampton mode 1 amplitude  -,0,0.164655,36.229284,,SD Craig-Bampton mode 3 amplitude  -,0,-0.054651,-75.254168,,SD Craig-Bampton mode 5 amplitude  -,0,0.473724,-1.185230,
ED Platform horizontal surge translation DOF  m,0,-0.035805,-9.573212,,SD Craig-Bampton mode 5 amplitude  -,0,-0.016708,-0.074748,,SD Craig-Bampton mode 1 amplitude  -,0,0.114686,23.573794,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.102059,83.028926,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.071952,-38.669251,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.042484,8.213152,,ED Platform horizontal sway translation DOF  m,0,-0.012969,-7.564879,,SD Craig-Bampton mode 4 amplitude  -,0,0.007471,-83.534930,,SD Craig-Bampton mode 4 amplitude  -,0,0.014079,73.131011,,SD Craig-Bampton mode 4 amplitude  -,0,-0.029415,-16.467876,,SD Craig-Bampton mode 4 amplitude  -,0,-0.028693,-29.815976,,SD Craig-Bampton mode 5 amplitude  -,0,0.014837,-8.914365,,SD Craig-Bampton mode 4 amplitude  -,0,0.005096,53.334443,,SD Craig-Bampton mode 5 amplitude  -,0,0.006793,9.730366,,SD Craig-Bampton mode 5 amplitude  -,0,-0.025005,14.386856,,SD Craig-Bampton mode 4 amplitude  -,0,0.055234,13.414262,,SD Craig-Bampton mode 2 amplitude  -,0,-0.010248,14.273224,,SD Craig-Bampton mode 2 amplitude  -,0,-0.029169,-74.389960,,SD Craig-Bampton mode 3 amplitude  -,0,0.046524,5.863000,,SD Craig-Bampton mode 4 amplitude  -,0,-0.013503,-75.688173,,SD Craig-Bampton mode 1 amplitude  -,0,-0.053151,-71.940598,,SD Craig-Bampton mode 4 amplitude  -,0,0.002418,-1.430337,
ED Platform yaw rotation DOF  rad,1,0.023328,-2.362788,,ED Platform horizontal surge translation DOF  m,0,-0.009784,-14.639135,,SD Craig-Bampton mode 3 amplitude  -,0,0.066278,19.699643,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.086752,-6.842835,,ED Platform horizontal surge translation DOF  m,0,-0.069704,85.827913,,SD Craig-Bampton mode 4 amplitude  -,0,-0.032879,88.854677,,SD Craig-Bampton mode 4 amplitude  -,0,0.012687,73.000301,,SD Craig-Bampton mode 5 amplitude  -,0,0.007186,31.076380,,SD Craig-Bampton mode 5 amplitude  -,0,-0.011326,-4.761185,,SD Craig-Bampton mode 5 amplitude  -,0,0.005444,55.371737,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,0.007130,-44.296755,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.002214,-34.144067,,SD Craig-Bampton mode 5 amplitude  -,0,-0.000650,32.014182,,ED Platform horizontal sway translation DOF  m,0,0.000470,5.758859,,SD Craig-Bampton mode 4 amplitude  -,0,-0.006707,-74.871547,,SD Craig-Bampton mode 5 amplitude  -,0,0.003075,-71.375414,,SD Craig-Bampton mode 4 amplitude  -,0,-0.001606,23.815237,,SD Craig-Bampton mode 4 amplitude  -,0,-0.012723,80.486254,,SD Craig-Bampton mode 5 amplitude  -,0,-0.007636,6.179699,,SD Craig-Bampton mode 2 amplitude  -,0,-0.012823,-62.926986,,SD Craig-Bampton mode 5 amplitude  -,0,0.018543,88.968815,,SD Craig-Bampton mode 2 amplitude  -,0,-0.002112,0.816123,
SD Craig-Bampton mode 4 amplitude  -,0,-0.015569,-9.104408,,SD Craig-Bampton mode 4 amplitude  -,0,-0.007644,-5.988435,,ED Platform horizontal sway translation DOF  m,0,-0.019211,14.840803,,ED Platform horizontal surge translation DOF  m,0,-0.081881,-88.058333,,SD Craig-Bampton mode 4 amplitude  -,0,-0.056139,22.738233,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.030801,77.374237,,ED 1st edgewise bending-mode DOF of blade sine  m,1,-0.010234,-63.803308,,ED Platform horizontal sway translation DOF  m,0,-0.006839,-7.773544,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.007578,-13.002089,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.003330,-53.702717,,ED Platform horizontal surge translation DOF  m,0,0.005249,-62.855217,,ED Variable speed generator DOF  rad,0,0.001822,-28.725189,,ED Platform horizontal surge translation DOF  m,0,-0.000390,0.997226,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000256,-11.870204,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001360,-0.887081,,ED Platform vertical heave translation DOF  m,0,-0.000602,-6.641479,,ED Variable speed generator DOF  rad,0,-0.001108,-0.621279,,ED Platform horizontal sway translation DOF  m,0,0.001524,0.771311,,ED Platform vertical heave translation DOF  m,0,-0.000867,0.198439,,ED Platform horizontal sway translation DOF  m,0,0.000810,7.851982,,ED Platform vertical heave translation DOF  m,0,0.003658,2.852298,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000557,1.684521,
