Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,
Natural (undamped) frequency (Hz):, 0.245752,,,,Natural (undamped) frequency (Hz):, 0.248204,,,,Natural (undamped) frequency (Hz):, 0.531047,,,,Natural (undamped) frequency (Hz):, 0.617813,,,,Natural (undamped) frequency (Hz):, 0.626709,,,,Natural (undamped) frequency (Hz):, 0.642326,,,,Natural (undamped) frequency (Hz):, 0.988420,,,,Natural (undamped) frequency (Hz):, 0.999492,,,,Natural (undamped) frequency (Hz):, 1.728806,,,,Natural (undamped) frequency (Hz):, 1.844936,,,,Natural (undamped) frequency (Hz):, 1.868039,,,,Natural (undamped) frequency (Hz):, 2.324830,,,,Natural (undamped) frequency (Hz):, 2.380818,,,,Natural (undamped) frequency (Hz):, 2.655921,,,
Damped frequency (Hz):, 0.245747,,,,Damped frequency (Hz):, 0.248199,,,,Damped frequency (Hz):, 0.531020,,,,Damped frequency (Hz):, 0.617525,,,,Damped frequency (Hz):, 0.626411,,,,Damped frequency (Hz):, 0.642011,,,,Damped frequency (Hz):, 0.987962,,,,Damped frequency (Hz):, 0.999013,,,,Damped frequency (Hz):, 1.723699,,,,Damped frequency (Hz):, 1.838342,,,,Damped frequency (Hz):, 1.861215,,,,Damped frequency (Hz):, 2.316667,,,,Damped frequency (Hz):, 2.369385,,,,Damped frequency (Hz):, 2.648368,,,
Damping Ratio (-):, 0.006077,,,,Damping Ratio (-):, 0.006416,,,,Damping Ratio (-):, 0.010187,,,,Damping Ratio (-):, 0.030542,,,,Damping Ratio (-):, 0.030835,,,,Damping Ratio (-):, 0.031350,,,,Damping Ratio (-):, 0.030423,,,,Damping Ratio (-):, 0.030944,,,,Damping Ratio (-):, 0.076806,,,,Damping Ratio (-):, 0.084476,,,,Damping Ratio (-):, 0.085398,,,,Damping Ratio (-):, 0.083728,,,,Damping Ratio (-):, 0.097885,,,,Damping Ratio (-):, 0.075364,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),
ED 1st tower side-to-side bending mode DOF  m,1,1.000000,0.000000,,ED 1st tower fore-aft bending mode DOF  m,1,1.000000,0.000000,,ED Drivetrain rotational-flexibility DOF  rad,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,0,1.000000,0.000000,
ED Drivetrain rotational-flexibility DOF  rad,0,0.373780,0.386522,,ED 1st flapwise bending-mode DOF of blade collective  m,1,0.734879,-1.005633,,ED 1st edgewise bending-mode DOF of blade collective  m,1,-0.658418,-1.057909,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.142844,3.202341,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.017503,1.825063,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.299398,2.559026,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.073048,-2.402779,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.078142,0.856926,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.204131,3.025854,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.075291,-1.303701,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.127319,6.897310,,ED Drivetrain rotational-flexibility DOF  rad,0,0.195882,16.835832,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.562408,-1.805541,,ED Drivetrain rotational-flexibility DOF  rad,0,0.730998,3.061316,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.249925,-0.217759,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.661724,-1.044833,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.436280,-5.744557,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.020009,1.736744,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.015957,0.458726,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.073913,-2.343689,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.063889,0.954770,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.071006,-2.421599,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.052780,-2.795321,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.010399,15.142450,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.118429,0.933230,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.154320,0.747706,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.128471,-1.574789,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.158137,0.419718,
ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.236242,-0.100567,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.100681,-0.664147,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.057733,-2.301843,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.015988,1.002719,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.015497,3.531468,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.048111,-5.689486,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.043849,-3.237643,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.046187,-2.229588,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.045362,-1.321943,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.010332,7.395566,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.023115,15.053851,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.144356,6.568137,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.109330,0.753082,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.129197,4.839435,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.114270,-1.796656,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.055561,-0.552384,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.048649,-8.191873,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.013484,-0.946306,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.007007,-2.744084,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.017215,2.319762,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.022601,-1.256519,,ED 1st tower side-to-side bending mode DOF  m,0,0.008070,-0.079938,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.039467,1.714697,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.008514,5.543608,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.019193,21.123450,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.112008,-5.323014,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.096275,-2.572927,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.051782,16.046840,
ED 1st flapwise bending-mode DOF of blade collective  m,0,0.107998,-1.706669,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.054337,-0.132655,,ED 1st tower side-to-side bending mode DOF  m,0,-0.045232,-0.369595,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.011417,1.841662,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.001922,1.817787,,ED 1st tower fore-aft bending mode DOF  m,0,-0.014076,-0.065670,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.010054,0.509717,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.007733,-1.157570,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.006774,10.147089,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.004007,2.247817,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.014809,-10.645190,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.056684,-9.430708,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.038435,-1.524706,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.036079,11.364886,
