Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,
Natural (undamped) frequency (Hz):, 0.252905,,,,Natural (undamped) frequency (Hz):, 0.256258,,,,Natural (undamped) frequency (Hz):, 0.606426,,,,Natural (undamped) frequency (Hz):, 0.672138,,,,Natural (undamped) frequency (Hz):, 0.769561,,,,Natural (undamped) frequency (Hz):, 0.834636,,,,Natural (undamped) frequency (Hz):, 1.158348,,,,Natural (undamped) frequency (Hz):, 1.600812,,,,Natural (undamped) frequency (Hz):, 1.794616,,,,Natural (undamped) frequency (Hz):, 1.898767,,,,Natural (undamped) frequency (Hz):, 2.063433,,,,Natural (undamped) frequency (Hz):, 2.322231,,,,Natural (undamped) frequency (Hz):, 2.351323,,,,Natural (undamped) frequency (Hz):, 4.329024,,,
Damped frequency (Hz):, 0.252890,,,,Damped frequency (Hz):, 0.254731,,,,Damped frequency (Hz):, 0.179073,,,,Damped frequency (Hz):, 0.354627,,,,Damped frequency (Hz):, 0.501027,,,,Damped frequency (Hz):, 0.833879,,,,Damped frequency (Hz):, 1.157806,,,,Damped frequency (Hz):, 1.494379,,,,Damped frequency (Hz):, 1.728726,,,,Damped frequency (Hz):, 1.811855,,,,Damped frequency (Hz):, 2.047433,,,,Damped frequency (Hz):, 2.304722,,,,Damped frequency (Hz):, 2.340665,,,,Damped frequency (Hz):, 4.320982,,,
Damping Ratio (-):, 0.011107,,,,Damping Ratio (-):, 0.109002,,,,Damping Ratio (-):, 0.955407,,,,Damping Ratio (-):, 0.849486,,,,Damping Ratio (-):, 0.759030,,,,Damping Ratio (-):, 0.042557,,,,Damping Ratio (-):, 0.030591,,,,Damping Ratio (-):, 0.358544,,,,Damping Ratio (-):, 0.268482,,,,Damping Ratio (-):, 0.299083,,,,Damping Ratio (-):, 0.124290,,,,Damping Ratio (-):, 0.122567,,,,Damping Ratio (-):, 0.095101,,,,Damping Ratio (-):, 0.060925,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),
ED Variable speed generator DOF  rad,1,1.000000,0.000000,,ED Variable speed generator DOF  rad,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade sine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED Drivetrain rotational-flexibility DOF  rad,1,1.000000,0.000000,
ED 1st tower side-to-side bending mode DOF  m,1,-0.547282,-3.295519,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,-0.963763,-7.224220,,ED 1st flapwise bending-mode DOF of blade sine  m,1,-0.954866,-89.059498,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.168134,-32.899675,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.996618,87.570336,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.970702,-89.677355,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.980672,89.087973,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,0.884569,84.377483,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.544978,57.235467,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.872796,70.791251,,ED Variable speed generator DOF  rad,0,0.798551,11.092016,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.749513,-31.464851,,ED Variable speed generator DOF  rad,0,-0.666998,-28.156927,,ED Variable speed generator DOF  rad,0,-0.833640,-0.769283,
ED 1st flapwise bending-mode DOF of blade sine  m,0,0.205048,65.680897,,ED 1st flapwise bending-mode DOF of blade collective  m,1,-0.884235,9.097912,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.159881,-34.674342,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.118697,32.010557,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.160336,51.841426,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.253560,-28.945219,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.290013,-21.774649,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.281908,89.171947,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.431068,-83.752485,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.285879,-16.647587,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.630037,54.894318,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.378415,-23.343502,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.552498,2.509889,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.210630,3.947765,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.139434,-60.034735,,ED 1st tower fore-aft bending mode DOF  m,1,0.532052,-81.522703,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.152237,53.989296,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.114674,39.079587,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.160250,-34.898540,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.249331,69.775085,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.245156,63.652651,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.203175,13.037344,,ED Variable speed generator DOF  rad,0,-0.330439,86.719500,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.208816,-75.143375,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.575829,4.364200,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.158859,11.459642,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.541295,40.313918,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.116850,2.735724,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.129541,-1.202201,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.135155,22.976177,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.073289,-84.966989,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.094436,10.223902,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.089370,82.325279,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.100953,-17.939869,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.097073,65.953698,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.067842,-77.797631,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.130964,-5.272443,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.097160,-41.892942,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.218118,22.385832,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.129877,-82.392537,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.329635,-45.786585,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.093947,14.644789,
ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.053836,64.487939,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.093128,-83.993503,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.053577,-9.696965,,ED Variable speed generator DOF  rad,0,0.083592,82.531496,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.057505,-11.034739,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.089130,72.813199,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.090897,-3.027518,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.065652,56.233255,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.090884,-45.879702,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.090986,-23.276885,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.057696,-55.181392,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.114568,-43.902459,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.264398,19.658812,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.005948,5.390318,
