Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,
Natural (undamped) frequency (Hz):, 0.252845,,,,Natural (undamped) frequency (Hz):, 0.258231,,,,Natural (undamped) frequency (Hz):, 0.581507,,,,Natural (undamped) frequency (Hz):, 0.671680,,,,Natural (undamped) frequency (Hz):, 0.748967,,,,Natural (undamped) frequency (Hz):, 0.881922,,,,Natural (undamped) frequency (Hz):, 1.120155,,,,Natural (undamped) frequency (Hz):, 1.635206,,,,Natural (undamped) frequency (Hz):, 1.813005,,,,Natural (undamped) frequency (Hz):, 1.852857,,,,Natural (undamped) frequency (Hz):, 2.063375,,,,Natural (undamped) frequency (Hz):, 2.336915,,,,Natural (undamped) frequency (Hz):, 2.351442,,,,Natural (undamped) frequency (Hz):, 4.313939,,,
Damped frequency (Hz):, 0.252839,,,,Damped frequency (Hz):, 0.257292,,,,Damped frequency (Hz):, 0.300575,,,,Damped frequency (Hz):, 0.433041,,,,Damped frequency (Hz):, 0.548279,,,,Damped frequency (Hz):, 0.881042,,,,Damped frequency (Hz):, 1.119324,,,,Damped frequency (Hz):, 1.559313,,,,Damped frequency (Hz):, 1.736105,,,,Damped frequency (Hz):, 1.784783,,,,Damped frequency (Hz):, 2.057688,,,,Damped frequency (Hz):, 2.318651,,,,Damped frequency (Hz):, 2.341489,,,,Damped frequency (Hz):, 4.302598,,,
Damping Ratio (-):, 0.007304,,,,Damping Ratio (-):, 0.085194,,,,Damping Ratio (-):, 0.856051,,,,Damping Ratio (-):, 0.764424,,,,Damping Ratio (-):, 0.681254,,,,Damping Ratio (-):, 0.044658,,,,Damping Ratio (-):, 0.038528,,,,Damping Ratio (-):, 0.301114,,,,Damping Ratio (-):, 0.288153,,,,Damping Ratio (-):, 0.268571,,,,Damping Ratio (-):, 0.074193,,,,Damping Ratio (-):, 0.124779,,,,Damping Ratio (-):, 0.091915,,,,Damping Ratio (-):, 0.072462,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),
ED Variable speed generator DOF  rad,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade sine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED Drivetrain rotational-flexibility DOF  rad,1,1.000000,0.000000,
ED 1st tower side-to-side bending mode DOF  m,1,-0.564275,-0.723226,,ED 1st flapwise bending-mode DOF of blade collective  m,1,0.923487,6.854560,,ED 1st flapwise bending-mode DOF of blade sine  m,1,-0.956221,-89.759734,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.250890,59.109846,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.982275,87.247120,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.948363,-89.815082,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.936447,89.539256,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.804908,77.822608,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.221657,-12.663017,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.704009,63.560763,,ED Variable speed generator DOF  rad,0,0.718629,0.229768,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.711392,-28.373017,,ED Variable speed generator DOF  rad,0,-0.663664,15.069664,,ED Variable speed generator DOF  rad,0,-0.840025,-0.118802,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.139025,-3.801660,,ED 1st tower fore-aft bending mode DOF  m,1,-0.614178,-74.035327,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.136368,-45.331668,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.146314,-43.943817,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.139050,-46.833731,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.264374,-43.384447,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.297274,-9.906546,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.287502,81.459153,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.213369,-74.967890,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.239969,-34.539880,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.197329,-2.995042,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.155327,-11.178492,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.261522,37.286139,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.221284,0.466125,
ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.135523,43.032577,,ED Variable speed generator DOF  rad,0,-0.484936,-2.269918,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.129329,43.122686,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.122245,-3.026014,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.138262,40.081082,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.236401,45.059139,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.273832,83.557926,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.160307,2.491943,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.181507,24.252655,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.189636,-77.226528,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.195205,1.607913,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.117152,-65.262382,,ED Drivetrain rotational-flexibility DOF  rad,0,0.227904,18.723672,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.043824,-2.367064,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.045806,6.411136,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.109954,-80.976569,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.105228,-13.315016,,ED Variable speed generator DOF  rad,0,0.064798,72.398039,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.051590,26.313595,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.108649,-30.692535,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.106179,-12.195706,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.046981,-81.600494,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.071974,35.352660,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.102285,1.562614,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.105777,72.337481,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.104188,-31.155109,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.194933,-4.103223,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.029655,14.788469,
ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.017463,-25.827332,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.080832,-72.189507,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.031030,-34.606189,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.031358,13.015936,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.032650,48.978650,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.102532,55.666685,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.094437,73.267159,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.046643,-14.346387,,ED Variable speed generator DOF  rad,0,-0.067797,58.387209,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.074287,-16.955992,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.017663,50.885244,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.100758,6.144163,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.190925,5.407373,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.006022,1.487676,
