Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,
Natural (undamped) frequency (Hz):, 0.252923,,,,Natural (undamped) frequency (Hz):, 0.259822,,,,Natural (undamped) frequency (Hz):, 0.589883,,,,Natural (undamped) frequency (Hz):, 0.688646,,,,Natural (undamped) frequency (Hz):, 0.759671,,,,Natural (undamped) frequency (Hz):, 0.870597,,,,Natural (undamped) frequency (Hz):, 1.142982,,,,Natural (undamped) frequency (Hz):, 1.604936,,,,Natural (undamped) frequency (Hz):, 1.792198,,,,Natural (undamped) frequency (Hz):, 1.847774,,,,Natural (undamped) frequency (Hz):, 2.066856,,,,Natural (undamped) frequency (Hz):, 2.326159,,,,Natural (undamped) frequency (Hz):, 2.351304,,,,Natural (undamped) frequency (Hz):, 4.313198,,,
Damped frequency (Hz):, 0.252914,,,,Damped frequency (Hz):, 0.258715,,,,Damped frequency (Hz):, 0.243827,,,,Damped frequency (Hz):, 0.401841,,,,Damped frequency (Hz):, 0.527384,,,,Damped frequency (Hz):, 0.869191,,,,Damped frequency (Hz):, 1.141575,,,,Damped frequency (Hz):, 1.511355,,,,Damped frequency (Hz):, 1.700740,,,,Damped frequency (Hz):, 1.767788,,,,Damped frequency (Hz):, 2.060767,,,,Damped frequency (Hz):, 2.307608,,,,Damped frequency (Hz):, 2.341311,,,,Damped frequency (Hz):, 4.301252,,,
Damping Ratio (-):, 0.008704,,,,Damping Ratio (-):, 0.092214,,,,Damping Ratio (-):, 0.910573,,,,Damping Ratio (-):, 0.812096,,,,Damping Ratio (-):, 0.719756,,,,Damping Ratio (-):, 0.056827,,,,Damping Ratio (-):, 0.049606,,,,Damping Ratio (-):, 0.336477,,,,Damping Ratio (-):, 0.315370,,,,Damping Ratio (-):, 0.291036,,,,Damping Ratio (-):, 0.076708,,,,Damping Ratio (-):, 0.126039,,,,Damping Ratio (-):, 0.092093,,,,Damping Ratio (-):, 0.074374,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),
ED Variable speed generator DOF  rad,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade sine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED Drivetrain rotational-flexibility DOF  rad,1,1.000000,0.000000,
ED 1st tower side-to-side bending mode DOF  m,1,-0.567554,-0.349810,,ED 1st flapwise bending-mode DOF of blade collective  m,1,0.903568,2.898519,,ED 1st flapwise bending-mode DOF of blade sine  m,1,-0.929005,-88.853712,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.407888,64.169465,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.959391,86.413838,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.954596,-89.800053,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.942019,89.740745,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.858082,79.853828,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.222006,-73.178417,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.767419,65.495653,,ED Variable speed generator DOF  rad,0,0.716455,-0.134394,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.752503,-29.666643,,ED Variable speed generator DOF  rad,0,-0.643769,14.535317,,ED Variable speed generator DOF  rad,0,-0.840342,-0.070893,
ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.176019,48.940064,,ED Variable speed generator DOF  rad,0,-0.715073,0.663584,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.204328,-6.112298,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.308787,16.679682,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.153692,11.614439,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.308841,-35.507253,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.336975,-11.141632,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.302284,86.079508,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.205234,-27.756550,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.268287,-26.936797,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.195258,0.973374,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.138585,-9.890939,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.254433,37.892752,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.221914,0.232737,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.141534,-6.965263,,ED 1st tower fore-aft bending mode DOF  m,1,-0.593530,-71.567400,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.144195,-39.407775,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.160283,-39.002288,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.147712,-42.233495,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.282278,52.700495,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.318424,82.067458,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.190215,6.186894,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.191738,11.192641,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.213145,-75.471016,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.173610,-6.237263,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.123986,-58.247632,,ED Drivetrain rotational-flexibility DOF  rad,0,0.220913,17.698131,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.037763,-3.944978,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.066276,35.385399,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.115019,-86.117767,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.133127,49.314613,,ED Variable speed generator DOF  rad,0,0.097965,59.487560,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.139594,45.654966,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.120295,-28.321720,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.116600,-13.978390,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.049461,-71.598216,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.134224,28.668818,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.064413,-4.958051,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.057197,-80.152486,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.098642,-32.039970,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.193331,6.257740,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.023266,19.327133,
ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.016785,-27.277945,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.081491,-78.007960,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.076538,-20.328388,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.061955,-11.549683,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.078144,-21.863414,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.116627,58.651002,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.102548,73.346423,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.045284,19.364708,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.086747,-64.706977,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.032593,64.377362,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.016883,66.101444,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.094596,8.566324,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.171282,-6.455077,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.005983,0.909665,
